,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,new_deaths_log,new_cases_log
374,10938836.0,69609.0,60229.143,264325.0,1555.0,1443.4289999999999,51462.488,327.48,283.35200000000003,1243.535,7.316,6.791,1.12,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1917303933628562,4.842665394749131
375,11019344.0,80508.0,66869.286,265411.0,1086.0,1495.5710000000001,51841.242999999995,378.755,314.591,1248.644,5.109,7.0360000000000005,1.12,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.035829825252828,4.905839037923494
376,11051665.0,32321.0,66380.571,266398.0,987.0,1525.4289999999999,51993.299000000006,152.056,312.29200000000003,1253.287,4.643,7.176,1.11,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.9943171526696366,4.50948478922394
377,11122429.0,70764.0,67929.0,268370.0,1972.0,1572.714,52326.212999999996,332.914,319.577,1262.565,9.277000000000001,7.399,1.1,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.2949069106051923,4.849812373825431
378,11202305.0,79876.0,69096.429,270656.0,2286.0,1626.4289999999999,52701.995,375.782,325.069,1273.319,10.755,7.652,1.09,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.359076226059263,4.902416308309034
379,11277717.0,75412.0,69140.714,272889.0,2233.0,1702.714,53056.776,354.781,325.277,1283.825,10.505,8.011000000000001,1.09,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.348888723071438,4.877440458855396
380,11363380.0,85663.0,70593.286,275105.0,2216.0,1762.1429999999998,53459.78400000001,403.00699999999995,332.111,1294.25,10.425,8.29,1.09,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.345569756056392,4.932793279734042
381,11439558.0,76178.0,71531.714,277102.0,1997.0,1825.286,53818.168,358.385,336.526,1303.645,9.395,8.587,1.08,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.3003780648707024,4.881829566377358
382,11483370.0,43812.0,66289.429,278229.0,1127.0,1831.1429999999998,54024.285,206.11599999999999,311.863,1308.947,5.3020000000000005,8.615,1.08,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.0519239160461065,4.641593078997352
383,11519609.0,36239.0,66849.143,279286.0,1057.0,1841.1429999999998,54194.773,170.489,314.496,1313.92,4.973,8.662,1.08,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.024074987307426,4.559176204996112
384,11603535.0,83926.0,68729.429,282127.0,2841.0,1965.286,54589.609000000004,394.835,323.342,1327.285,13.366,9.246,1.07,67.13,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4534712337229356,4.923896524681974
385,11693838.0,90303.0,70219.0,284775.0,2648.0,2017.0,55014.445,424.837,330.35,1339.743,12.458,9.488999999999999,1.07,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.422917980767662,4.95570217846194
386,11780820.0,86982.0,71871.857,287499.0,2724.0,2087.143,55423.657999999996,409.213,338.126,1352.558,12.815,9.818999999999999,1.07,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4352071032407476,4.9394293892913534
